Region,Region_Name,Region_Type,Seed,Strategy,Fraction_Removed,LCC_Size,Percolation_Threshold
FB_cm_42,Fan-shaped Body,Unscaled CM,42,random,0.2,0.9477324782409529,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,random,0.30000000000000004,0.9173156207054513,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,random,0.4,0.8856619331195603,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,random,0.5,0.8480073293632616,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,random,0.6000000000000001,0.8062757672927164,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,random,0.7000000000000001,0.7610169491525424,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,random,0.8,0.7116811726981218,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,random,0.9,0.6441136051305543,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,random,1.0,0.00022904260192395785,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,high_degree,0.0,1.0,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,high_degree,0.1,0.9908382959230417,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,high_degree,0.2,0.983508932661475,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,high_degree,0.30000000000000004,0.9809894640403115,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,high_degree,0.4,0.9695373339441136,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,high_degree,0.5,0.9587723316536876,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,high_degree,0.6000000000000001,0.9328905176362804,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,high_degree,0.7000000000000001,0.8934951901053596,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,high_degree,0.8,0.8332569857993587,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,high_degree,0.9,0.7366010077874484,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,high_degree,1.0,0.00022904260192395785,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,low_degree,0.0,1.0,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,low_degree,0.1,0.8323408153916628,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,low_degree,0.2,0.7714154832798901,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,low_degree,0.30000000000000004,0.722858451672011,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,low_degree,0.4,0.6827759963353184,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,low_degree,0.5,0.6500229042601924,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,low_degree,0.6000000000000001,0.6321575813101237,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,low_degree,0.7000000000000001,0.6021530004580852,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,low_degree,0.8,0.5847457627118644,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,low_degree,0.9,0.5391662849289968,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,low_degree,1.0,0.00022904260192395785,0.013568445129531101
FB_cm_123,Fan-shaped Body,Unscaled CM,123,random,0.0,1.0,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,random,0.1,0.9731562070545122,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,random,0.2,0.9453504351809437,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,random,0.30000000000000004,0.9158955565735226,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,random,0.4,0.8843334860284013,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,random,0.5,0.850114521300962,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,random,0.6000000000000001,0.8058176820888685,0.013570891277454167
