Region,Region_Name,Region_Type,Seed,Strategy,Fraction_Removed,LCC_Size,Percolation_Threshold,Percolation_Type
EB,Ellipsoid Body,Original,N/A,random,0.25,0.693911007025761,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.30000000000000004,0.6302107728337237,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.35000000000000003,0.5740046838407494,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.4,0.5192037470725996,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.45,0.46697892271662766,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.5,0.4131147540983607,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.55,0.36088992974238876,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.6000000000000001,0.31124121779859487,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.65,0.2690866510538642,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.7000000000000001,0.22412177985948478,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.75,0.1793911007025761,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.8,0.13864168618266978,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.8500000000000001,0.09929742388758782,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.9,0.061826697892271666,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.9500000000000001,0.02646370023419204,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,1.0,0.0,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.0,1.0,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.05,0.9110070257611241,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.1,0.8044496487119438,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.15000000000000002,0.7271662763466042,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.2,0.6498829039812647,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.25,0.5679156908665105,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.30000000000000004,0.48243559718969553,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.35000000000000003,0.38875878220140514,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.4,0.2903981264637002,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.45,0.22716627634660422,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.5,0.16159250585480095,0.005816827701630643,Node
