source,target,weight,roiInfo
544038123,5901193720,10,"{""INP"": {""pre"": 2, ""post"": 2}, ""CRE(R)"": {""pre"": 2, ""post"": 2}, ""CRE(-ROB,-RUB)(R)"": {""pre"": 2, ""post"": 2}, ""LX(R)"": {""pre"": 8, ""post"": 8}, ""LAL(R)"": {""pre"": 8, ""post"": 8}, ""LAL(-GA)(R)"": {""pre"": 8, ""post"": 8}}"
544038123,5901221584,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SMP(R)"": {""pre"": 3, ""post"": 3}}"
545453209,578189223,7,"{""SNP(R)"": {""pre"": 7, ""post"": 7}, ""SLP(R)"": {""pre"": 7, ""post"": 7}}"
545453209,703351975,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
578189223,390616496,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
578189223,452694446,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}}"
578189223,545453209,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
578189223,2124762952,3,{}
578530106,703351975,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 2, ""post"": 2}, ""SIP(R)"": {""pre"": 1, ""post"": 1}}"
610571450,360958913,3,"{""SNP(R)"": {""pre"": 2, ""post"": 2}, ""SLP(R)"": {""pre"": 2, ""post"": 2}}"
610571450,452694446,5,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 2, ""post"": 2}, ""SIP(R)"": {""pre"": 1, ""post"": 1}, ""LX(R)"": {""pre"": 1, ""post"": 1}, ""LAL(R)"": {""pre"": 1, ""post"": 1}, ""LAL(-GA)(R)"": {""pre"": 1, ""post"": 1}}"
610571450,668876945,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
610571450,671600919,5,"{""SNP(R)"": {""pre"": 5, ""post"": 5}, ""SLP(R)"": {""pre"": 5, ""post"": 5}}"
